Price,Adj Close,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,,
2015-11-26,210.5088348388672,225.98875427246094,226.7430877685547,221.32566833496094,221.9542694091797,23805828
2015-11-27,208.46475219726562,223.7943572998047,226.86880493164062,222.66287231445312,226.06875610351562,10891864
2015-11-30,205.9202880859375,221.0627899169922,225.0172882080078,219.96559143066406,223.66864013671875,29919205
2015-12-01,205.66476440429688,220.7884979248047,223.73721313476562,219.7255859375,220.35418701171875,12981379
2015-12-02,208.2305145263672,223.5429229736328,223.9429473876953,220.46847534179688,220.86849975585938,7573628
2015-12-03,208.0708465576172,223.37147521972656,226.0573272705078,222.66287231445312,222.84573364257812,11361395
2015-12-04,205.56895446777344,220.6856231689453,223.1428985595703,219.75987243652344,222.2514190673828,13443688
2015-12-07,202.7157745361328,217.62261962890625,222.41143798828125,217.0968780517578,220.6856231689453,14483909
2015-12-08,200.34165954589844,215.07391357421875,217.97691345214844,213.97671508789062,216.90257263183594,7532164
2015-12-09,195.01849365234375,209.3593292236328,215.65679931640625,208.6621551513672,213.99957275390625,9174419
2015-12-10,202.35379028320312,217.23402404785156,218.0226287841797,210.29652404785156,210.86798095703125,18592203
2015-12-11,202.9073944091797,217.82833862304688,219.21127319335938,215.5310821533203,217.55404663085938,18155513
2015-12-14,203.36520385742188,218.31979370117188,220.23989868164062,216.23968505859375,216.6054229736328,10563900
2015-12-15,207.79403686523438,223.07432556152344,223.5429229736328,217.98834228515625,218.7541046142578,15718833
2015-12-16,208.37957763671875,223.7029266357422,225.73731994628906,222.52572631835938,223.07432556152344,12097338
2015-12-17,214.9909210205078,230.80043029785156,232.01193237304688,223.55435180664062,224.02294921875,19369032
2015-12-18,211.20083618164062,226.73165893554688,230.6404266357422,226.29734802246094,229.45179748535156,16016139
2015-12-21,211.24343872070312,226.77737426757812,228.35459899902344,225.005859375,225.81732177734375,12331769
2015-12-22,210.22137451171875,225.68017578125,229.177490234375,224.92584228515625,226.9373779296875,11579277
2015-12-23,213.73464965820312,229.45179748535156,230.160400390625,226.29734802246094,226.70880126953125,12919467
2015-12-24,213.04263305664062,228.70889282226562,230.22897338867188,227.7374267578125,229.4746551513672,11901877
2015-12-28,215.13995361328125,230.96044921875,231.7261962890625,228.5831756591797,228.72032165527344,12885935
2015-12-29,216.20462036132812,232.10336303710938,232.85768127441406,230.21754455566406,230.96044921875,14913870
2015-12-30,213.88369750976562,229.61180114746094,232.24050903320312,229.04034423828125,232.01193237304688,8151610
2015-12-31,216.0342254638672,231.9204864501953,233.08627319335938,228.37745666503906,229.36036682128906,18483713
2016-01-01,216.19395446777344,232.09193420410156,232.9033966064453,230.4575653076172,230.8232879638672,5416562
2016-01-04,211.92478942871094,227.5088348388672,231.7376251220703,225.5430145263672,229.72608947753906,30170947
2016-01-05,214.02212524414062,229.7603759765625,230.86900329589844,227.89743041992188,228.65174865722656,14946239
2016-01-06,219.78175354003906,235.9435577392578,237.36077880859375,228.6746063232422,230.32040405273438,26759864
2016-01-07,215.74681091308594,231.61190795898438,234.98350524902344,230.42327880859375,233.3948516845703,19739943
